Region ,Country,"City, Region",Description,Date (M.DD.Y),Link,Mention or use of false news measure (Y/N),Detained (Y/N),Arrested (Y/N) ,Imprisoned (Y/N) ,Access Denied (Y/N),Chilling Statement (Y/N),Attacked (Y/N),Charged (Y/N) ,Online Harassment (Y/N),Threatened (Y/N),Death (Y/N),Surveillance,Criminalization: type of new or amended law (please specify),Disinformation or propaganda (Y/N)
ECA,Turkey,Antalya,"Two journalists detained after writing corona-related stroy. The story was deleted from the website, haberimizvar.net, after the journalists were released. ",3.0.2020,Ask Ozgur. ,,Y,,,,,,,,,,,,
ECA,Slovenia,,TK- program researching,,,,,,,,,,,,,,,,
ECA,Ukraine ,,"Looks at the panic and riots that took place in Novi Sanzhary, Ukraine, largely due to a disinformation campaign related to the virus. ""Looking back, residents [of the city], including doctors, said the anger and panic were stoked by the government’s decision to withhold information from them, misinformation that spread across social media, and sensational coverage by the news media.",3.09.2020,https://www.buzzfeednews.com/article/christopherm51/coronavirus-riots-social-media-ukraine,,,,,,,,,,,,,,Y
ECA,Russia ,,"""Pro-Kremlin media have been spreading disinformation about coronavirus with the aim of 'aggravating' the public health crisis in the west, the European Union’s diplomatic service has concluded in a leaked report."" This article reviews several of the 80 examples of disinformation from Russian sources the EU Monitor recored between January 16 to March 16.",3.18.2020,https://www.theguardian.com/world/2020/mar/18/russian-media-spreading-covid-19-disinformation,,,,,,,,,,,,,,Y
ECA,Hungary,,"New law will permanently amend two articles of the criminal code that will further limit freedom of expression and penalize people for breaching quarantine orders. It will also suspend all elections and referendums.

Under one measure, anyone who disseminates information that could hinder the government’s response to the epidemic could face up to five years in prison. The legislation gives broad latitude to the public prosecutor to determine what counts as distorted or false information.Lawyer Daniel Karsai echoes same point as Gulnoza--this marks birth of dictatorship",3.30.2020,https://www.nytimes.com/2020/03/30/world/europe/coronavirus-governments-power.html?action=click&module=Spotlight&pgtype=Homepage,Y,,,,,,,,,,,,Penal code amendment,
ECA,Turkey,Antalya,İdris Özyol (chief editor) and Ebru Özaydın (editor) from the local online newspaper Haberimiz Var were detained by the police from their houses and questioned about their reporting on Coronavirus. They were released after questioning. The story in question was deleted.,03.13.2020,https://www.haberimizvar.net/haber-ozyol-ve-kucukaydin-ifade-verdi-11393.html,,,,,,,,,,,,,,
ECA,Turkey,Diyarbakır,Freelance journalist Aydın Atay was called by the police to be questioned about his tweet on Coronavirus (Diyarbakır Courthouse is closed due to Coronavirus). He was released after offering testimony to the police.,03.18.2020,https://www.gazeteduvar.com.tr/gundem/2020/03/18/gazeteci-aydin-ataya-korona-haberi-sorusturmasi/,,,,,,,,,,Y,,,,
ECA,Turkey,Istanbul,16 field reporters and camera personnel of the Demirören Media Group were forced to work inside a container in front of their offices as a precaution.,03.22.2020,https://www.independentturkish.com/node/150786/medya/evde-kalamayan-habercilere-koronavir%C3%BCs-%C3%B6nlemi-bina-%C3%B6n%C3%BCne-konteyner-konuldu-i%C3%A7eri,,,,,,,,,,,,,,
ECA,Turkey,Kocaeli,"İsmet Çiğit (chief editor), Ahmet Seminer (responsible news editor) and Güngör Arslan (İnternet editor) from the local newspaper SES Kocaeli were detained by the police from their houses at night and questioned about their reporting on Coronavirus. They were released after questioning. The story in question was deleted.",03.23.2020,https://bianet.org/5/104/221825-we-no-longer-chase-after-coronavirus-news-after-being-detained,,Y,,,,,,Y,,Y,,,,
ECA,Turkey,Izmir,"Tugay Can, reporter for the local newspaper İz Gazete, was called by the police to be questioned about his reporting on Coronavirus (two medical workers in two different districts of Izmir tested positive). He was released after offering testimony to the police.",03.25.2020,https://www.izgazete.net/genel/iz-gazete-muhabiri-tugay-can-ifadeye-cagrildi-h45285.html,,,,,,,,,,Y,,,,
ECA,Turkey,Ankara,"Interior minister said almost 2,000 social media accounts had been identified making provocative posts about the outbreak, resulting in the detention of 410 people ""attempting to stir unrest.""",03.25.2020,https://www.haaretz.com/middle-east-news/turkey/turkey-arrests-hundreds-for-provocative-social-media-posts-about-coronavirus-1.8709336,,Y,,,,Y,,,,Y,,,,
ECA,Turkey,Ankara,"Government media watchdog RTÜK fined three TV channels due to their reporting on Coronavirus: Halk TV, TELE1 and Habertürk.",03.26.2020,http://susma24.com/rtukten-tele-1-halk-tv-ve-haberturke-koronavirus-cezasi/,,,,,,,,,,,,,,
ECA,Turkey,Diyarbakır,"Nurcan Baysal, writer and columnist for critical online outlet Ahval, was called to testify about her tweets on the Coronavirus pandemic. She was let go after ater questioned.",03.30.2020,https://twitter.com/baysal_nurcan/status/1244947238507499522,,,,,,,,,,Y,,,,
ECA,Turkey,Van,"Oktay Candemir, local journalist from the eastern province of Van, was called to testify about his reporting on Coronavirus.",03.31.2020,https://twitter.com/ExInt24/status/1244955928446844928,,,,,,,,,,Y,,,,
ECA,Croatia,Zagreb, ministry official attacks reporter covering #coronavirus event (not clear whether related to reporting),2.4.2020,https://www.hnd.hr/hrvatsko-novinarsko-drustvo-osuduje-fizicki-napad-na-novinara-domagoja-margetica,,,,,,,Y,,,,,, ,
ECA,Serbia,Novi Sad,"Reporter detained over #coronavirus article, released,
 PM apology",2.4.2020,"https://balkaninsight.com/2020/04/02/serbian-reporters-arrest-over-pandemic-article-draws-pms-apology/
https://mappingmediafreedom.ushahidi.io/posts/23245",Y,Y,Y,,,,,,,,,, ,Y
ECA,Serbia,Belgrade,"Government severly restricts flow of information on coronavirus, 
J-association warns of censorship",1.4.2020,https://balkaninsight.com/2020/04/01/serbian-govt-takes-control-of-information-flow-about-pandemic/,,,,Y,,Y,,,,,,, ,
ECA,UK,,NHS staff 'gagged' over coronavirus shortages,31.3.2020,https://www.theguardian.com/society/2020/mar/31/nhs-staff-gagged-over-coronavirus-protective-equipment-shortages?CMP=fb_gu&utm_medium=Social&utm_source=Facebook&fbclid=IwAR3gnFSh4QQLHOEkQPAqF3rew3CDxfd__auFuuX1OV7nuP1ESBZFDDj69vk#Echobox=1585683114,,,,,,Y,,,,,,,,
ECA,Slovenia,Ljubljana,TV crew of public broadcaster attacked,31.3.2020,https://www.vecer.com/novinarji-rtv-slovenija-v-ljubljani-tarca-napada-10150761,,,,,,,Y,,,,,,,
ECA,North Macedonia,Skopje,hospital put pressure on investigative journalist in coronavirus reporting,29.3.2020,https://znm.org.mk/%d0%b7%d0%bd%d0%bc-%d0%b8-%d1%81%d1%81%d0%bd%d0%bc-%d1%80%d0%b5%d0%b0%d0%ba%d1%86%d0%b8%d1%98%d0%b0%d1%82%d0%b0-%d0%bd%d0%b0-%d0%b0%d1%9f%d0%b8%d0%b1%d0%b0%d0%b4%d0%b5%d0%bc-%d1%81%d0%b8/?lang=en,,,,,,,,,,Y,,,,
ECA,Poland,Warsaw,"citizen journalist detained while documenting a demonstration
 under coronavirus state of emergency",28.3.2020,"https://www.press.pl/tresc/61022,dziennikarz-obywatelski-zatrzymany-za-relacjonowanie-pikiety-przed-domem-jaroslawa-kaczynskiego",,Y,,,,,,,,,,,,
ECA,Serbia,Zrenjanin,"journalists shortly detained and charged for allegedly not following
sanitary guidelines",27.3.2020,"https://www.cenzolovka.rs/pritisci-i-napadi/reporteri-bez-granica-vlasti-u-srbiji-u-vreme-koronavirusa-treba-da-podrzavaju-novinare-a-ne-da-ih-maltretiraju/
https://www.cenzolovka.rs/pritisci-i-napadi/odlozeno-saslusanje-novinara-u-zrenjaninu-policija-odbija-da-vrati-kameru-i-telefon/",,Y,,,,,,Y,,,,,,
ECA,Bulgaria,Sofia,J-association warns against using criminal code provisions against journalists #coronavirus,27.3.2020,http://new.aej-bulgaria.org/27-03/,,,,,,Y,,,,,,,,
ECA,Italy,Turin,Journalists covering coronavirus  attacked by street vendors in Turin,25.3.2020,https://www.giornalistitalia.it/cronista-aggredito-dagli-ambulanti-a-torino/#more-148914,,,,,,,Y,,,,,,,
ECA,Bosnia,Sarajevo,PM verbally attacks TV crew for coronavirus reporting,24.3.2020,https://safejournalists.net/bh-journalists-public-protest-to-fadil-novalic-the-prime-minister-of-the-federation-of-bih/,,,,,,,,,,Y,,,,
ECA,Italy,Livorno,newspaper reporter and photographer covering #coronavirus threatened by local,23.3.2020,https://www.ossigeno.info/livorno-andate-via-edicolante-minaccia-cronisti/,,,,,,,Y,,,,,,,
ECA,Kosovo,Pristina,Locals attack a crew of reporters covering coronavirus,23.3.2020,https://www.osce.org/representative-on-freedom-of-media/449065,,,,,,,,,,Y,,,,
ECA,Italy,Cagliari,"journalist verbally assaulted by municipal leader over 
coronavirus criticism",17.3.2020,https://www.ossigeno.info/fb-cagliari-insulti-a-mario-guerrini-alla-sua-eta/,,,,,,,,,,Y,,,,
ECA,Slovenia,Ljubljana,"Investigative journalist attacked in probably government
 orchestrated smear campaign",15.3.2020,https://ipi.media/slovenian-journalists-operate-in-increasingly-toxic-atmosphere/,,,,,,,,,Y,,,,,
North America,U.S. ,"Washington, D.C. ",The White House prohibited audio and video coverage of a critical briefing on coronavirus,3.04.2020,https://www.businessinsider.com/white-house-barred-audio-video-coverage-coronavirus-briefing-2020-3?utm_source=Pew+Research+Center&utm_campaign=7092250cf9-EMAIL_CAMPAIGN_2020_03_04_02_26&utm_medium=email&utm_term=0_3e953b9b70-7092250cf9-399875233,,,,,,,,,,,,,,
North America,U.S. ,,Access. White House told federal health officials to classify coronavirus deliberations.,3.11.2020,https://www.reuters.com/article/us-health-coronavirus-secrecy-exclusive/exclusive-white-house-told-federal-health-agency-to-classify-coronavirus-deliberations-sources-idUSKBN20Y2LM,,,,,,Y,,,,,,,,
North America,U.S. ,"Houston, Texas",Harassed. Reporter yelled at while asking questions about coronavirus.,3.13.2020,https://twitter.com/abc13miya/status/1238451602442326016?s=21,,,,,,,,,,,,,,
North America,U.S. ,"Washington, D.C.","Reporters cut off repeatedly during WH briefing; President calls PBS correspondent's question ""nasty""",3.13.2020,https://twitter.com/chrisjansing/status/1238569986957901831?s=21,,,,,,,,,,,,,,
North America,U.S. ,"Washington, D.C.","Access. Journalist turned away from briefing following temperature screening. Not sure we should call this a press freedom violation, but good to have on here",3.14.2020,https://twitter.com/kellyo/status/1238861900869484545?s=21,,,,,,,,,,,,,,
North America,U.S. ,"Washington, D.C.","Surgeon general tells reporters ""no more finger pointing."" Again, don't think we want to call this a press freedom violation, but good to track",3.14.2020,https://twitter.com/maggieNYT/status/1238873769315352576,,,,,,,,,,,,,,
North America,U.S. ,"Washington, D.C.","""The day after he became the focus of sharp criticism for urging Fox News viewers to go out to their local restaurants and pubs in direct contradiction of CDC guidelines, Rep. Devin Nunes (R-CA) claimed 'media freaks' were distorting his remarks.""",3.16.2020,https://www.thedailybeast.com/devin-nunes-blames-media-freaks-for-distorting-his-call-for-people-to-go-out-to-restaurants-and-pubs,,,,,,,,,,,,,,
North America,U.S. ,"Washington, D.C.",Change to WH briefing seating ,3.17.2020,https://app.slack.com/client/T034614MS/C3UG29SQN/thread/C3UG29SQN-1584392216.003800,,,,,,,,,,,,,,
North America,U.S. ,"Washington, D.C.","Chiling statement. U.S. Senator Richard Burr: ""In a tabloid-style hit piece today, NPR knowingly and irresponsibly misrepresented a speech I gave last month about the coronavirus threat.""",3.19.2020,https://twitter.com/SenatorBurr/status/1240766943449276424,,,,,,Y,,,,,,,,
North America,Canada,,The main CBC network will replace local nightly newscasts in all areas except stations in the north.,3.18.2020,https://twitter.com/fagstein/status/1240284920167235586?s=20,,,,,,,,,,,,,,
North America,US,"Washington, D.C.","Disinformation. In a statement, Judd Deere, a White House spokesman, said that “any suggestion that President Trump did not take the threat of Covid-19 seriously or that the United States was not prepared is false.” Not directed specifically at any journalist or news organization, it seems, but nonetheless thought worth flagging given the magnitude of the problem of disinformation/misinformation in the US around things like testing and also use of 'false' label",3.28.2020,https://www.nytimes.com/2020/03/28/us/testing-coronavirus-pandemic.html?action=click&module=Spotlight&pgtype=Homepage,,N,N,N,N,N,N,N,N,N,,,,Y
North America,US ,"Tallahassee, FL ",Reporter for the Miami Herald and Tampa Bay Times not allowed into governor's press briefing on covid-19,3.28.2020,https://cpj.org/2020/03/reporter-denied-access-to-florida-governors-briefi.php,,,,,Y,,,,,,,,,
North America,US,,"Discusses the results of a survey that asked Americans to rate the performance of the media's coverage of coronavirus. General findings of the survey: a) ""Americans give the news media fairly high marks for their coverage of COVID-19, though most think their reporting has at least somewhat exaggerated the risks""; b) ""About half the public (48%) say they’ve been exposed to at least some made-up news and information related to the virus""; and, c) ""substantial portions [of survey respondents] express belief in claims that are in fact false"" (e.g., 29% think it was created in a lab).",3.18.2020,https://www.journalism.org/2020/03/18/americans-immersed-in-covid-19-news-most-think-media-are-doing-fairly-well-covering-it/,,,,,,,,,,,,,,Y
CSA,Venezuela,,"Socorro has been target of coordinated state trolling. Includes a Vice-Minister sending Socorro a tweet (https://twitter.com/planwac/status/1236401422477950979?s=20) from his official account. She sent Ana Cristina all of the screen shots of the tweets. She has been a strong critic of the government, and has had her Twitter account hacked in the past.",3.0.2020,https://twitter.com/MilagrosSocorro/status/1235951748478636033?s=20,,,,,,Y,,,Y,,,,,
CSA,Venezuela,,"Journalist Gregoria Diaz received insults and threats through Twitter, Instagram and WhatsApp after reporting via Twitter of a possible case of Coronavirus of a citizen from China, in the city of Maracay, on February 21. The mayor herself retweeted the campaign on social media to discredit Díaz. She has also been harassed by local officials since posting the tweet.",3.0.2020,https://twitter.com/ipysvenezuela/status/1231322551512653824?s=20,,,,,,,,,,,,,,
CSA,Venezuela,,"Jesús Enrique Torres and Jesus Manuel Castillo were detained by police on March 13.Castillo and Torres appeared before a judge in Los Teques on March 15, when they were charged with “crimes against the state” and released, according to Carlos Torres, the father of Jesús Torres, who spoke to Espacio Público but did not cite any specific laws the journalists were alleged to have broken. The journalists are required to register their whereabouts with authorities once a week as their legal case proceeds, Murolo said.",3.13.2020,https://cpj.org/2020/03/venezuelan-authorities-arrest-threaten-journalists.php,,Y,,,,,,Y,,,,,,
CSA,Venezuela ,,Melquiades Avila was threatened multiple times and is now in hiding.,3.0.2020,https://cpj.org/2020/03/venezuelan-authorities-arrest-threaten-journalists.php,,,,,,,,,,Y,,,,
CSA,Dominican Republic ,Santo Domingo,"José Benítez (+cameraman) Police detained them for allegedly violating curfew, though press workers are excluded. Relased later that same day.",3.23.2020,https://elnuevodiario.com.do/denuncian-pn-viola-decreto-presidencial-al-apresar-periodista-y-camarografo-en-toque-de-queda/,,Y,,N,,,,N,,,,,,
CSA,Honduras,Tegucigalpa,Police hit Paola Cobo + other journalists documenting the moment when police are detaining invidividuals for failing to comply with curfew imposed due to Coronavirus,3.23.2020,http://www.clibrehonduras.com/index.php/portada-alertas/1130-policia-nacional-agrede-a-periodistas-en-tegucigalpa,,,,,,,Y,,,,,,,
CSA,El Salvador ,San Salvador ,"Two soldiers and a security guard at the CIFCO convention center stopped a TV journalist from taking photos outside the center, which is being converted to an emergency hospital for COVID-19 patients. Unnamed journalist and unidentified outlet",3.23.2020,http://apes.org.sv/alertas/soldados-obligan-a-periodista-a-borrar-material-informativo/,,,,,,,,,,,,,,
CSA,Venezuela ,La Guaira,"Beatriz Rodriguez. Police take from her home to the prosecutor's office to interrogate her on a report of a case that tested positive for Coronavirus published in the La Verdad daily, where she is the Editor. She is interrogated again on the 25. She is being pressured to reveal sources.",3.24-25.2020,https://twitter.com/sntpvenezuela/status/1242836433372667908?s=20,,,,,,,,,,,,,,
CSA,Venezuela ,Caracas ,"Rosalí Hernández, Caraota Digital. Special forces agents FAES detain her for 40 min and force her to delete the videos she had recorded showing the cleaning/ sterilization of streets ordered by the government to fight the pandemic. ",3.25.2020,https://twitter.com/sntpvenezuela/status/1242499041122017280?s=20,,,,,,,,,,,,,,
CSA,Venezuela ,Caracas ,"Yarnaldo Tovar, 360 Grados INternacional. Detained by the national police outisde a hospital (Hopsital Pereférico de Coche), Caracas, covering coronavirus. Released several hours later.",3.25.2020,https://twitter.com/espaciopublico/status/1242910642283122689?s=20,,Y,,,,,,,,,,,,
CSA ,Dominican Republic ,Santiago ,"Miguel Eduardo Taveras deatined and handcuffed by police for alleged breach of curfew, though press is exempted.",3.27.2020,https://www.instagram.com/p/B-SOktFjZgv/?igshid=pvuc2s1ejeuy,,Y,,,,,,,,,,,,
CSA,Peru,Piura,"Ralph Zapata of OjoPublico detained inside his home by 10 policemen, taken to the police station.",3.28.2020,https://ipys.org/libertad-de-expresion/alertas/peru-policia-detiene-ilegalmente-a-periodista,,Y,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Africa,Nigeria,"Wuse neighborhood, Abuja",Five journalists granted parloe after spreading disinformation relating to coronavirus,3.02.2020,https://www.legit.ng/1298893-coronavirus-court-grants-bail-5-journalists-arrested-abuja.html,Y,,Y,,,,,,,,,,,Y
Africa,Niger,,"Kaka Touda Mamane Goni, detained. dissemination of data likely to disturb public order.",3.05.2020,https://twitter.com/CPJAfrica/status/1238489613725044736,Y,Y,,,,,,,,,,,,
Africa,Kenya,,Fake news. Kenya arrests 23-year old aspiring blogger and influencer for peddling fake news. Unclear if he was actually pushing false narratives-- need to follow up w Africa.,,https://www.africanews.com/2020/03/16/media-watch-western-ethiopia-internet-cut-sudan-bans-pro-bashir-press/,Y,,Y,,,,,,,,,,,?
Africa,South Africa,,"""Just in that fake news/ disinformation about #COVID19 becomes a criminal offence in South Africa."" Under the Disaster Management Act, section 11(4)1/: ""Any person who publishes any statement, through any medium, including social media, with the intention to deceive any other person about— (a) COVID-19; (b) COVID-19 infection status of any person; or (c) any measure taken by the Government to address COVID-19, commits an offence.""",3.18.2020,https://twitter.com/Dariomilo/status/1240382342881042434,Y,,,,,,,,,,,,Disaster Management Act,
Africa,Kenya,,Journalist Robert Alai charged with spreading false informatmion relating to coronavirus pandemic,3.23.2020,https://www.nation.co.ke/news/Alai-faces-court-over-Covid-19-post/1056-5500884-cktom5/index.html,Y,,,,,,,Y,,,,,,
Africa,Kenya,,Blogger Cyprian Nyakundi arrested by police over post made about coronavirus on social media,3.25.2020,https://www.standardmedia.co.ke/article/2001365603/blogger-cyprian-nyakundi-arrested-over-covid-19-post,,,Y,,,,,,,,,,,
Africa,Nigeria,,Members of church attack journalists who were monitoring restrictions on movement relating to coronavirus,3.22.2020,,,,,,,,Y,,,,,,,
Africa,DRC,,"TV reporter Tholi Totali Glody was run down by police in Likasi. Glody works for one of Likasi's leading TV stations, Alfajari TV, whose programme director told RSF that, after explaining to two policemen that he was covering respect for the lockdown, Glody was chased by the police and knocked off the motorcycle, breaking a leg and sustaining injuries to his face and an arm.",3.24.2020,https://allafrica.com/stories/202003260704.html,,,,,,,Y,,,,,,,
Africa ,Tanzania,,"Not mandate but worrying. Two people (Husband and wife I think), Boniface Elias Mwita and Rosemary Elias Mwita, were arrested in Dar es Salaam and are now facing charges of spreading false news about Coronavirus. According to a post on Jamii Forums, while riding in a public transport minibus (dala dala) from Tabata to Muhibili Hospital in Dar es Salaam, the two were heard by fellow passengers claiming that Coronavirus is a hoax, and alleged that the reason schools were closed is because the govt does not have money to feed students in school, and that the government just wants foreign aid. The fellow passengers in the dala dala, after listening to the “fake news”, ordered the driver to drive to a police station, where the two Mwitas were arrested. Investigations into the case are over, and the file has been submitted to prosecutors.",3.20.2020,Jamii Forums,Y,,Y,,,,,,,,,,,
Africa,Nigeria ,"Chuka, Meru County",David Njagi Freelance,3.23.2020,Muthoki Conversation on March 24 with Winnie Kamau (+721754349) of the Kenya Freelancers Association. ,,,,,,,,,,,,,,
Africa ,Nigeria ,Abuja,Outlets denied access to Aso Rock. over 80 journalists,3.24.2020,https://www.dailytrust.com.ng/over-80-journalists-barred-from-aso-rock.html,,,,,,,,,,,,,,
Africa,Ethiopia,Tigray Region," Yayesew Shimelis, a journalist with the state-owned Tigray TV who also contributes to a column to the Feteh Magazine and runs his own YouTube channel was arrested today on allegations of false news in connection to COVID19. According to tweets by @befeqe and private conversation between CPJ and two other sources, he was arrested in connection to a video posted yesterday in which he claimed that religious leaders in Ethiopia have been ordered to prepare 200,000 graves for expected COVID19 deaths. Earlier today, before Yayesew’s arrest, the ruling party in the Tigray bureau of the ruling prosperity party is said to have issued a press statement today calling for legal measures against those who spread false news and cause panic, and specifically cited Yayesew. They also called out another journalist by name, Tigray TV’s Medhin Gebreselassie, who is said to have claimed that 300,000 people would die in the Tigray region from the coronavirus. Yayesew apologise for the video, which has been taken down already, in a tweet today, according to @befeqe. I suggest for now we just retweet Befekadu. Our advocacy ask needs to be nuanced and I want to listen to the video before I come up with it.",,https://twitter.com/befeqe/status/1243560758191034373?s=20,Y,,,,,,,,,,,,,
Africa ,Kenya ,Mombasa,"An NTV Cameraperson, Peter Wainaina, was today afternoon assaulted by police in Mombasa Kenya who were trying to get people off the streets ahead of the 7pm curfew. In the video shared by NTV Kenya on its handle, Wainaina can be heard saying: “its not 6PM yet”. The police officer tells him, “I have forgiven you, you’re like my brother”, says something about throwing stones and claims that they can’t wait for 6PM. But even if it was after curfew, the government of Kenya has declared media( licensed broadcasters and media houses) part of the essential personnel that are allowed to be out and about at night.",3.27.2020,https://twitter.com/ntvkenya/status/1243535920265125890?s=20,,,,,,,Y,,,,,,,
