Region ,Country,"City, Region",Description,Date (M.DD.Y),Link,Mention or use of false news measure (Y/N),Detained (Y/N),Arrested (Y/N) ,Imprisoned (Y/N) ,Access Denied (Y/N),Chilling Statement (Y/N),Attacked (Y/N),Charged (Y/N) ,Online Harassment (Y/N),Threatened (Y/N),Death (Y/N),Surveillance,Criminalization: type of new or amended law (please specify),Disinformation or propaganda (Y/N)
Africa ,Nigeria ,Rivers State,"State governor, Wike sacks journalists including Vincent Ake for story on COVID-19",3.26.2020,https://whirlwindnews.com/news/16869-Enraged-Wike-sacks-state-newspaper-boss-for-breaking-Rivers-COVID-19-story-,,,,,,,,,,,,,,
Africa,Nigeria ,Imo State,"Angela Nkwo Akpolu manhandled, phone seized for snapping quarantine centers ",3.28.2020,https://www.thenigerianvoice.com/news/286515/mra-condemns-attacks-on-journalists-covering-covid-19-calls.html,,,,,,,,,,,,,,
Africa ,Nigeria ,,Restricted movement: Journalists need ID cards to move around during lockdown,3.30.2020,https://www.premiumtimesng.com/news/more-news/384970-coronavirus-journalists-need-id-cards-to-move-around-during-lockdown-minister.html,,,,,,,,,,,,,,
Africa,Zimbabwe,,Regulation that criminalizes spreading falsehood on coronovirus subject to a 20 year jaril term or a hefty fine or both,3.27.2020,https://www.thestandard.co.zw/2020/03/29/20-years-jail-spreading-fake-coronavirus-news/,Y,,,,,,,,,,,,Regulation,
Africa ,Zimbabwe,Gweru,Kudzanai Musengi. Practicing as a journalist without vald accreditation while photographin lockdwon effects.  But Zim Media Commission in January authorized jorunalists to continue working using their 2029 accreditaiton until further notice. New fees and accresitiatoin notice only issue on  MArch 27,3.30.2020,,,,Y,,,,,,,,,,,
Africa ,Zimbabwe,Mutare,"Tatenda Julius,  Arrested for practising as a journo without valid accredition and detained overnight. Paid a fine next day and was released/",3.30.2020,https://zimbabwe.misa.org/2020/03/30/zimbabwe-police-arrest-journalist-in-mutare/,,,Y,,,,,,,,,,,
Africa ,South Africa,Countrywide,"Disaster Management Regulations criminalizes the publishing of any statement, through any memida, including social media, with the intention to decidve any other paerson aobut COVID-19, the infection status of any person or any measure taken by the government to address COVID-19, lialbe on conviction to a fine or 6 months in jail or both",3.18.2020,https://www.gov.za/documents/disaster-management-act-regulations-address-prevent-and-combat-spread-coronavirus-covid-19,Y,,,,,,,,,,,,Disaster Management Regulations,
Africa ,South Africa,,"Policeman deliberately fires at Azarrah Karrim with rubber bullets. Journaiist was filming Day of the lockdown when police forcibly dispered shoppers queing at a supremarket for food. Police dispersed the shoppers and chased after them. One policeman saw here filming and shot at her, despite her shouting she was a journalist and then chased her into a restaurant, where two of his colleagues intervened. She has laid a charge and complained to IPID ",3.27.20,https://www.news24.com/SouthAfrica/News/police-clash-with-joburg-residents-news24-reporter-caught-in-crossfire-20200327 AQ spoke to journo herself who sent a recording of what happened to her that is a lot jore serious than what appeas in this article,,,,,,,,,,,,,,
Africa ,Zambia,Lusaka,Prime TV suspended and taken off Top Star platform after owner tells government to pay for Coronvirus adverts,2.04.2020,https://diggers.news/breaking/2020/03/27/topstar-removes-prime-tv-from-its-platforms/,,,,,,,,,,,,,,
Africa ,South Africa,Cape Town,This heavy-handed policeman confiscates #photographer Tracey Adam's cell as she takes footage of an assault in Capricorn Park.,3.27.2020,https://twitter.com/WeekendArgus/status/1243539203608252416,,,,,,,,,,,,,,
Africa ,South Africa,Kimberley,"Journalist infected, newsroom SABC goes into quarantine",3.27.2020,https://www.news24.com/SouthAfrica/News/sabc-employee-in-northern-cape-tests-positive-for-coronavirus-20200326,,,,,,,,,,,,,,
Africa,Cameroon,Fako,Samuel Wazizi habeus corupus postponed. Defence and state lawyers fail to appear in court because of conflicting information about court closing over COVID-19,3.24.2020,Confirmed with ABA observer and lawyer,,,,,,,,,,,,,,
Africa,Cameroon,Countrywide,"Makes u-trun on previous day decision that court sessions cancelled, now no more than 50 -people in court. Concern about more dealys for awating trial journos and appeals, etc, ",3.19.2020,,,,,,,,,,,,,,,
Africa ,South Africa,,Cellphone companies agree to hand over location date to government for COVID tracking,3.25.2020,https://www.bloomberg.com/news/articles/2020-03-27/s-africa-to-tap-phone-data-to-ready-for-coronavirus-case-spikes,,,,,,,,,,,,Y,,
Africa,South Africa,,"Economic effects of small publications like M&G. Editor appeals for financial help because of effects of the pandemic on adverstising revenue, etc, and that theu can't pay staff or billls",3.27.2020,https://www.fin24.com/Companies/mail-guardians-april-salaries-in-the-balance-as-editor-appeals-for-reader-support-20200327,,,,,,,,,,,,,,
Africa,South Africa,Johannesburg,Another employee based at SABC HQ found tested and confirmed coronvirus case,3.29.2020,https://www.news24.com/SouthAfrica/News/coronavirus-second-sabc-employee-tests-positive-for-covid-19-20200329,,,,,,,,,,,,,,
Africa,Nigeria,Abuja,Information minister says Journalists need ID cards to move around in Lockdown,3.30.2020,https://www.premiumtimesng.com/news/more-news/384970-coronavirus-journalists-need-id-cards-to-move-around-during-lockdown-minister.html,,,,,,,,,,,,,,
Africa,Liberia ,Monrovia,"Press Union makes uregent request for financial assistance, says many media may have to suspend work, following economic meltdown and effects of COVID-19",3.30.2020,https://web.facebook.com/permalink.php?story_fbid=149254256618101&id=104110297799164&__xts__[0]=68.ARDkhHzZnK0bMyceMJuwtdC_tH6pmzCiG5ugeEa_ifDpn9Cyg1zozkVzQVbv4ylyQNfAPideUcRDgQcxGjh3NTdARFTzNZcPooHeHQtaZs5dJK9MyYMxYtxZse6K7TqWW5gWC-MKaSZ3UPSxft5j2w-v3B5SZFYBY2A58URgOLr5aWMsWJNMrfMWUWoUcWPmdDvw8FK_vMac8unJPp_TZbQP2CO6h4yjXcbY-lWo4Q6ezOS55bO_0TinoIoyIsPYLCV-NhqNhk9Cbw1EnYSJd2PN9YmjssD9hUbDgEfMC4ck_VKzwY-scMoS_ZldbPMv43V5LJODe5vj0Ozx53I&__tn__=-R,,,,,,,,,,,,,,
Africa,Liberia ,Buchanan City,"Frank Payne flogged. Press Union of Liberia Condemned Payne's follogging, on oders of LDEA boss after the journalist tried to report none-compliance of social disnce regulations",3.27.2020,https://web.facebook.com/permalink.php?story_fbid=149271539949706&id=104110297799164&__tn__=-R,,,,,,,Y,,,,,,,
Africa,Kenya,Nairobi,"During a press conference to provide updates on the Coronavirus, the Chief Administrative Secretary from the ministry of health refused to take questions from the media. There is speculation that they did not want to be asked about a 13 year old boy who was killed by a “stray” bullet from police who were enforcing a curfew on March 30.",3.31.2020,https://www.the-star.co.ke/covid-19/2020-03-31-kenya-confirms-new-9-new-coronavirus-cases-total-number-rises-to-59/,,,,,,,,,,,,,,
Africa,Kenya,Meru County,"Gregory Murithi, a cameraman with Weru TV, was assaulted by police officers on March 28, 2020 at Mitunguu market in Imenti South district, Meru County. Murithi was recording local officials forcefully evicting traders, assaulting market women, and scattering their wares while claiming to be enforcing social distancing measures at the market. One of the police officers tried to take away his camera, they ordered the journalist to delete footage, but he stood his ground. The journalist reported the matter at Mitunguu police station, but according to Nairobi news he was kept waiting for two hours before police recorded the incident in the OB (Occurrence Book).",3.28.2020,https://nairobinews.nation.co.ke/news/another-journalist-attacked-by-police-during-implementation-of-covid-19-orders-photos,,,,,,,Y,,,,,,,
Africa,Kenya,,"John Kiarie (an MP). Not sure this would be mandate. A member of parliament, John Kiarie, was summoned yesterday by police and questioned about a Facebook post in which he claimed that there were 7,000 kenyans in quarantine, who had arrived back in the country between Wednesday and Sunday last week. The MP also said that the country has limited testing capacity, and that the government is communicating low estimates. He further estimated that by May Kenya will have at least 10,000 cases of COVID19. He then called on the government to communicate the real gravity of the situation, start establishing isolation centres around the country, mass produce masks and ventilators etc. He was released after he agreed to issue a clarification on his “alarming post” His clarification includes him saying the he based the figure of 10,000 on a scientific study. On March 30, the minister of health, who had earlier publicly condemned the MP for his comments, told a press conference that preliminary modelling indicated that Kenya would have about 5,000 to 10,000 cases of COVID19 by mid-April, absent drastic intervention.",3.28.2020,https://nairobinews.nation.co.ke/news/mp-john-kiarie-released-after-agreeing-to-issue-clarification-on-his-alarmist-post,,,,,,,,,,,,,,
Africa,Zimbabwe,,Police dispersed several newspaper vendors and arrested four for violating the presidential directive for national lockdown.,3.31.2020,https://www.news24.com/SouthAfrica/News/sabc-employee-in-northern-cape-tests-positive-for-coronavirus-20200326,,,Y,,,,,,,,,,,
Africa,South Africa,,"Two journalists Khaya Koko & Sesona Ngqakamba were covering a police brutality case w.r.t the lockdown. Some of the officers' colleagues, who appeared to have been drinking, became very aggressive towards the two jouranlists.",3.31.2020,https://twitter.com/khayakoko88/status/1244982541255430146,,,,,,,,,,Y,,,,
Africa ,Uganda,,"A local pastor, Augustine Yiga, was arrested in connection to comments he made to the media about COVID19. The ministry of health asked police to arrest a pastor, Augustine Yiga, who in tv broadcast called the Coronavirus pandemic a hoax. Today (March 30) morning he was remanded to prison after being charged with spreading harmful propaganda. Prosecution claims that he knew or had reason to believe that his comments were likely to spread COVID19, according to the Daily Monitor. The ministry also wants the Uganda Communications Commission to take action against the pastor and his radio station, ABS.",3.28.2020,https://www.pmldaily.com/news/2020/03/pastor-yiga-wanted-arrested-over-coronavirus-remarks.html,Y,,,,,,,,,,,,,Y
Africa,Uganda,,"This one is connected to the above incident of Pastor Yiga, PML Daily reports that the Uganda Communications Commission has written to three tv stations asking them to show cause why regulatory sanctions shouldn’t be taken against them, in connection to their coverage of COVID19. The stations, BBS TV, NTV and Spark TV could also face criminal charges of actions “likely to spread infection of any disease” for which those convicted could face up to 7 years in prison. According to PML Daily, the UCC accuses the stations of airing content with the potential “to confuse, divert and mislead” the public. The allegations against BBS and Spark tv arise from the stations having broadcasted Pastor Yiga’s comments that COVID19 is a hoax. NTV is accused of giving a platform to one Simon Senyonga on march 26, who is said to have made “objectionable” comments about COVID 19. I am trying to second-source this since it does not seem that NTV, BBS or Spark TV are reporting this.",3.30.2020,https://www.pmldaily.com/news/2020/03/breaking-ucc-calls-out-three-tv-stations-including-ntv-over-misinformation-on-covid19.html,Y,,,,,,,,,,,,,Y
Africa,Zimbabwe,All,Required to carry press cards to move around,,https://www.herald.co.zw/journalists-get-nod-to-use-2019-press-cards/,,,,,,,,,,,,,,
Africa,Liberia ,Monrovia,E.O of GNN asked to provide source of story about COVID-19,3.31.2020,https://web.facebook.com/permalink.php?story_fbid=149777916565735&id=104110297799164&__tn__=K-R,,,,,,,,,,,,,,
Africa,Liberia ,Central Monrovia,"Kaizolo was attacked by  LDEA officials while covering live, attempts by police to clear marketers in Liberia's COVID-19 response",3.30.2020,https://web.facebook.comper/malink.?stphpory_fbid=149777916565735&id=104110297799164&__tn__=K-R,,,,,,,Y,,,,,,,
Africa,Nigeria,Abuja,"NCDC, partners Premium Times, Africa check to check fake news on COVID-19",3.31.2020,https://www.premiumtimesng.com/news/top-news/385271-ncdc-partners-with-dubawa-and-africa-check-to-debunk-misinformation-on-coronavirus.html,Y,,,,,,,,,,,,,
Africa ,Cote d'Ivoire ,Abidjan,"The justice system accused the two newspapers of having published a statement from the group of lawyers for an Ivorian opposition MP, Alain Lobognon, arrested and imprisoned at the end of December for complicity in a supposed attempt at “insurrection”. The lawyers were concerned about the conditions of incarceration in the context of the coronavirus pandemic and requested the release of their client.",3.31.2020,https://fr.africanews.com/2020/03/31/cote-d-ivoire-deux-journaux-condamnes-pour-fausses-informations/,,,,,,,,,,,,,,
MENA,Iran,Tehran,Mostafa Faghihi/ Journalist / charged under Iran penal code for spreading lies relating to coronavirus,3.10.2020,Link,Y,,,,,,,,,,,,Penal code,
MENA,Iran,Saqqez,Journalist Fardin Mostafaei / arrested/ interrogated on charges of spreading misinformation/ false news relating to coronavirus under the Iran Penal code.,3.5.2020,Link,Y,,Y,,,,,,,,,,,
MENA,Iran,Saqqez,A group of Kurdish journalists charged (?) with disinformation (can we say fake news or no?),3.0.2020,https://twitter.com/Ahmadinejad1956/status/1237072414841937920,Y,,,,,,,Y,,,,,,
MENA,Iran,Fars Province ,150 citizen journlaists and social media users who were informing the public were arrested,3.13.2020,Link,,,Y,,,,,,,,,,,
MENA,Iran,Tehran,"Tehran Prosecutor General Ali Alghasi-Mehr had issued an order saying, “in order to manage public opinion and the media, the judiciary will identify, document, and summon those who spread false news through various news websites, social media channels, such as Instagram, and other news sources in the shortest time possible.”",3.11.2020,Link,Y,,,,,Y,,,,,,,,
MENA,Iran,,Iran's parliament announced any one who spreads False News about Coronavirus will be sentenced to 3 years in prison. (They see any coverage of the virus as False News anyway!!),2.26.2020,,Y,,,,,Y,,,,,,,,
MENA,Iran,,Arrested at least 24 people who were informing the public on social media by sharing news about coronavirus. Citizen jouranlists? Imprisoned? Fake News?,2.26.2020,,,Y,Y,,,,,,,,,,,
MENA,Iran,,"Abdollah Seyed Ahmadi Zavieh,  editor of the state-run Fars news agency, passed away after contracting COVID 19 . Noteworthy given how bad the outbreak has been there plus Iranian government's contradictory positions on dangers faced by media workers, including the fact they do not consider them essential workers and thus do not offer them extra health protections",3.23.2020,https://www.independentpersian.com/node/48211/%D8%B3%D8%B1%D8%AF%D8%A8%DB%8C%D8%B1-%D8%AE%D8%A8%D8%B1%DA%AF%D8%B2%D8%A7%D8%B1%DB%8C-%D9%81%D8%A7%D8%B1%D8%B3-%D9%82%D8%B1%D8%A8%D8%A7%D9%86%DB%8C-%D8%AC%D8%AF%DB%8C%D8%AF-%DA%A9%D8%B1%D9%88%D9%86%D8%A7-%D8%AF%D8%B1-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86?utm_medium=Social&utm_source=Twitter#Echobox=1585030320,,,,,,,,,,,Y,,,
MENA,Iran ,,At least 19 Iranian journalists who work for the state's main broadcasting the Islamic Republic of Iran Broadcasting (IRIB) are infected with the virus. Most were infected while covering February election. Iranian journalists are not considered essential workers so they are not provided PPE that other front line workers have access to.,,https://twitter.com/SeyedmehrdadS/status/1241961077719646208,,,,,,,,,,,,,,
MENA,Egypt,,Gov't revokes press credentials for Ruth Michaelson and threatens NYTimes reporter Declan Walsh,3.0.2020,https://www.aljazeera.com/news/2020/03/egypt-targets-guardian-nyt-journalists-coronavirus-reports-200318155434068.html?utm_source=dailybrief&utm_medium=email&utm_campaign=DailyBrief2020Mar19&utm_term=DailyNewsBrief,,,,,,,,,,,,,,
MENA,Jordan,,"an emergency “defense law” gave wide latitude to Prime Minister Omar Razzaz, who said his government would “deal firmly” with anyone who spreads “rumors, fabrications and false news that sows panic.”",3.20.2020,https://www.nytimes.com/2020/03/30/world/europe/coronavirus-governments-power.html?action=click&module=Spotlight&pgtype=Homepage,,,,,,,,,,,,,emergency law,
MENA,Iran ,Tehran,Coronavirus Combat Taskforce banned all print media. The ban will be in place as long as coronavirus-related restrictions are in effect.,3.30.2020,https://en.radiofarda.com/a/iran-journalists-protest-coronavirus-taskforce-ban-on-print-media-/30519547.html,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Asia,China ,,"Report on the findings of ""ProPublica’s research [that] tracked how the government-linked influence accounts that had targeted political dissidents and the Hong Kong protests turned their focus to the coronavirus outbreak. During the height of the epidemic in China, many of [these accounts] became cheerleaders for the government, calling on citizens to unite in support of efforts to fight the epidemic and urging them to 'dispel online rumors.' With the epidemic spreading across the world, these accounts have sought to promote the Chinese government’s image abroad and shore up its support at home.""",3.26.2020,https://www.propublica.org/article/how-china-built-a-twitter-propaganda-machine-then-let-it-loose-on-coronavirus,,,,,,,,,,,,,,Y
Asia ,Philippines ,,"The ""last-minute amendment to President Rodrigo Duterte's special powers bill to contain the novel coronavirus was an expansion of the section on penalties, which now specifically punishes the spreading of fake and alarming information by up 2 months in prison and up to P1 million in fines. [...] Former Supreme Court spokesperson Ted Te said the subparagraph on the punishment of fake news: ""'since there is no law that criminizalizes or defines fake news as a crime, and the special powers law does not also define what fake news is, it cannot be criminalized. That would be void.'""",3.24.2020,https://www.rappler.com/nation/255753-duterte-special-powers-bill-coronavirus-fines-fake-news,Y,,,,,,,,,,,,emergency law,
Asia,Taiwan,,"4 people in Taiwan were charged with violating the Social Order Maintenance Act and the Criminal Codes by spreading rumors about the epidemic online. The contents they posted were conspiracy theories about the Taiwanese government stockpiling surgical masks for the rich. So far, no journalists affected.",,https://news.cts.com.tw/cts/politics/202002/202002061989683.html,Y,,,,,,,,,,,,,
Asia,Taiwan,,"Discusses the Taiwanese government's efforts to deal with disinformation in relation to the virus, ranging from press releases to new legislation. ""According to Taiwan’s Special Act on COVID-19 Prevention, Relief, and Restoration passed on Feb. 25, individuals who spread rumors or disinformation about COVID-19 that risk harming the public interest can face a maximum prison term of three years and a possible fine of NT$3 million (US$99,000).""",3.06.2020,https://bulletin.tfd.org.tw/tdb-vol-4-no-1-taiwans-battle-against-rampant-covid-19-disinformation/,Y,,,,,,,,,,,,"Special Act on COVID-19 Prevention, Relief, and Restoration",Y
Asia ,Singapore ,,"Government uses false news law to order STR to correct false statements it made on government adhering to WHO guidelines . This raises question of whether it is acceptable for a governemnt to make decisions about what information can be taken down, when that information is in fact blatantly false as in this case.",2.01.2020,https://www.straitstimes.com/politics/coronavirus-govt-invokes-fake-news-law-against-false-claims-by-states-times-review,Y,N,N,N,,,,,,,,,false news law,
Asia ,Malaysia,Kuala Lumpur,Government files three criminal charges against journalist Wan Noor Hayati Wan Alias under penal code Section 505(b) for causing “fear or alarm to the public” or “commit an offense against the State or public tranquility” over three coronavirus related tweets. Trial ongoing; she faces a possible six years in prison ,2.01.2020,,,N,Y,N,N,,N,Y,N,N,,,,
Asia,India ,New Delhi,Aajtak journalist Naveen Kumar was beaten up by police on his way to work,3.23.2020,http://www.mediavigil.com/media/aaj-tak-journalist-abused-and-beaten-up-by-delhi-police/,,,,,Y,,Y,,,Y,,,,
Asia,India,"Varanasi, Uttar Pradesh",Jansandesh Times report Vijay Kumar Singh was beaten up by police on his way to work,3.23.2020,Copy of police complaint with Kunal,,N,N,N,Y,N,Y,N,N,Y,,,,
Asia,India,"Hyderabad, Telangana","Police in Hyderabad also beat and insulted Mendu Srinivas, political bureau chief of Telugu-language daily Andhra Jyothy,  for alleged lockdown violations while he was returning from work",3.23.2020,https://www.siasat.com/journalist-unions-lodged-complaint-dgp-1863975/,,N,N,Y,N,Y,N,N,Y,,,,,N
Asia,India,"Hyderabad, Telangana","Police in Hyderabad hit Mohammed Hussain, a reporter for the English news website Siasat, for alleged lockdown violations while he was returning from work",3.23.2020,https://twitter.com/writetohussain/status/1242444169953468418,,N,N,Y,N,Y,N,N,Y,,,,,N
Asia ,Thailand,,"""Prime Minister Prayut Chan-o-cha said today that the worst thing about the ongoing novel coronavirus situation in Thailand is panic caused by fake news, as he warned those with ill-intent that they will be dealt with decisively and in accordance with the law.""",,,,,,,,,,,,,,,Y,
Asia,Thailand,,Thai sports reporter Noppadol Sritaweekard is first reported member of Thai media to contract Covid-19. He was infected while covering a boxing event that has emerged as a major cluster of infections in the country.,3.24.2020,https://www.khaosodenglish.com/news/crimecourtscalamity/2020/03/24/boxing-stadium-at-epicenter-of-outbreak-defied-closure-order/,,N,N,N,,,,,,,,,,N
Asia,India,"Thane, Maharashtra","ETV deputy news editor Uttkarsh Chaturvedi was beaten up by the police while reporting on the locknown in Thane district in Maharashtra, despite showing his press card",3.26.2020,https://www.rediff.com/news/report/tv-journalist-beaten-up-by-cops-during-lockdown/20200326.htm,,N,N,Y,N,Y,N,N,Y,,,,,N
Asia,India,"Bhopal, Madhya Pradesh","KK Saxena became the first Indian journalist to be infected by COVID19. He got the virus from his daughter who returned from the UK.  He had attended two press conferences just before he was tested positive. A case of ""negligent act likely to spread infection of disease dangerous to life"" have been filed against him by Bhopal police because he attended two important press conferences even though his daughter was quarantined",3.26.2020,https://thewire.in/media/bhopal-journalist-covid-19-coronavirus,,N,N,N,Y,N,Y,N,Y,,,,,N
Asia,India,"Varanasi, Uttar Pradesh",Varanasi district magistrate Kaushal Raj Sharma sent a legal notice to Jansandesh Time over an article claimed some villager had nothing to eat due to lockdown.,3.26.2020,https://theprint.in/india/journalist-behind-story-of-starving-dalits-eating-grass-in-varanasi-district-gets-notice/390385/,,N,N,N,Y,N,N,N,Y,,,,,N
Asia ,Bangladesh ,,"The Information Ministry announced that it has formed a unit to monitor social media and various television outlets for “rumors” about COVID-19 cases. So far, no reports of journalists, but the authorities have apparently arrested at least a dozen people, including a doctor, opposition activists, and students, for their comments about coronavirus, most of them under the draconian Digital Security Act.",,https://www.hrw.org/news/2020/03/31/bangladesh-end-wave-covid-19-rumor-arrests,Y,,,,,,,,,,,,"new unit to monitor social media, use of Digital Security Act",
Africa,Nigeria,"Delta state, southern Nigeria","Officials of bthe Delta state tax force attacked journalists, Micheal Ikeogu and Mathew Omonigho while they monitored the level of complaionce to stay-at-home directives for their report",04.01.2020,https://dailypost.ng/2020/04/02/covid-19-taskforce-officials-attack-nuj-chairman-daily-post-correspondent-omonigho-in-delta/,,N,Y,N,N,N,Y,N,N,Y,N,N,N,N
Africa,Liberia,Monrovia,"Journalist, Charles Yates Interrogated by NSA for social mefdia post alleging corruption from government in the implementation of health strategies to curb COVID-19",04.02.2020,https://frontpageafricaonline.com/news/liberia-pres-weah-linked-to-intimidating-harassing-critical-journalist-charles-yates/,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,,Y